Año,Azuay,Bolívar,Cañar,Carchi,Cotopaxi,Chimborazo,El Oro,Esmeraldas,Guayas,Imbabura,Loja,Los Ríos,Manabí,Morona Santiago,Napo,Pastaza,Pichincha,Tungurahua,Zamora Chinchipe,Galápagos,Sucumbíos,Orellana,Santo Domingo,Santa Elena,Ecuador
2008, 30.58 , 69.83 , 46.36 , 46.75 , 54.13 , 57.00 , 35.86 , 64.14 , 45.87 , 44.86 , 53.26 , 70.43 , 66.61 , 58.10 , 71.90 , 38.76 , 27.91 , 41.85 , 57.34 ,, 65.77 , 84.26 ,,, 46.97 
2009, 28.25 , 62.40 , 45.88 , 39.40 , 51.15 , 50.86 , 34.75 , 60.61 , 47.83 , 44.01 , 50.11 , 67.04 , 60.32 , 59.43 , 56.52 , 38.05 , 24.55 , 38.64 , 53.00 ,, 53.48 , 79.96 ,,, 44.94 
2010, 23.65 , 56.76 , 41.13 , 41.37 , 51.56 , 53.76 , 32.44 , 55.86 , 43.78 , 40.30 , 46.96 , 63.00 , 58.65 , 57.57 , 55.22 , 44.21 , 21.06 , 36.03 , 46.02 ,, 55.47 , 69.31 ,,, 41.82 
2011, 29.85 , 56.78 , 43.61 , 35.16 , 48.64 , 49.75 , 31.44 , 61.01 , 34.80 , 35.65 , 46.15 , 60.22 , 62.06 , 63.71 , 51.08 , 43.20 , 18.23 , 32.19 , 67.48 ,, 53.00 , 91.01 ,,, 39.43 
2012, 26.23 , 59.10 , 38.62 , 34.71 , 49.24 , 47.98 , 25.16 , 54.49 , 29.95 , 38.14 , 36.87 , 60.70 , 60.41 , 66.46 , 42.07 , 48.10 , 19.17 , 32.98 , 62.81 ,, 49.98 , 72.49 ,,, 36.78 
2013, 26.10 , 57.53 , 36.11 , 32.04 , 39.83 , 46.10 , 31.12 , 54.93 , 37.44 , 28.19 , 42.69 , 63.84 , 62.81 , 51.97 , 49.52 , 48.58 , 14.11 , 26.50 , 33.96 ,, 64.59 , 57.96 , 59.05 , 52.28 , 38.70 
2014, 17.41 , 47.20 , 30.80 , 25.15 , 34.72 , 32.78 , 24.78 , 54.81 , 37.13 , 23.99 , 31.34 , 54.91 , 57.23 , 56.34 , 48.43 , 42.24 , 16.62 , 23.80 , 38.45 , 25.16 , 59.38 , 62.85 , 43.39 , 47.96 , 35.42 
2015, 19.20 , 46.73 , 27.47 , 24.96 , 34.30 , 37.53 , 22.56 , 49.30 , 34.10 , 28.12 , 29.50 , 55.83 , 53.16 , 53.08 , 49.75 , 51.16 , 10.55 , 18.87 , 37.81 , 34.30 , 62.02 , 55.88 , 41.24 , 44.32 , 32.85 
2016, 19.32 , 35.07 , 27.64 , 21.44 , 32.65 , 30.03 , 24.33 , 54.25 , 33.38 , 24.29 , 27.87 , 50.41 , 51.38 , 58.22 , 41.53 , 57.97 , 12.04 , 19.55 , 40.11 , 17.33 , 62.78 , 40.95 , 38.72 , 45.89 , 32.01 
2017, 20.56 , 40.77 , 39.35 , 22.36 , 41.91 , 35.41 , 21.27 , 58.47 , 31.89 , 20.19 , 29.71 , 51.85 , 40.37 , 54.43 , 43.40 , 44.54 , 11.35 , 15.81 , 35.75 , 18.88 , 44.97 , 46.31 , 40.56 , 38.08 , 31.81 
2018, 21.24 , 50.13 , 29.98 , 26.80 , 35.35 , 55.67 , 23.29 , 68.38 , 32.89 , 23.02 , 36.42 , 50.59 , 53.29 , 50.68 , 35.65 , 41.78 , 7.29 , 10.69 , 35.16 ,, 58.39 , 65.60 , 33.16 , 47.75 , 33.53 
